zone_id,zone_name,borough,latitude,longitude
1,Newark Airport,EWR,40.69183016020958,-74.17400156582248
2,Jamaica Bay,Queens,40.616746199373786,-73.83129979354713
3,Allerton/Pelham Gardens,Bronx,40.86447372906585,-73.8474217852696
4,Alphabet City,Manhattan,40.72375208451233,-73.97696827424141
5,Arden Heights,Staten Island,40.55265878064343,-74.18848459794721
6,Arrochar/Fort Wadsworth,Staten Island,40.600324409468406,-74.07177024696533
7,Astoria,Queens,40.76149261704312,-73.91969433569462
8,Astoria Park,Queens,40.77855862576789,-73.92308626324494
9,Auburndale,Queens,40.75103435668663,-73.78794875477833
10,Baisley Park,Queens,40.67895308442328,-73.79098676199028
11,Bath Beach,Brooklyn,40.60427268170343,-74.00748784386448
12,Battery Park,Manhattan,40.70294582144012,-74.01556349991374
13,Battery Park City,Manhattan,40.71203792466726,-74.01607927269924
14,Bay Ridge,Brooklyn,40.62483367229869,-74.0298925099
15,Bay Terrace/Fort Totten,Queens,40.78333300468791,-73.78597285841018
16,Bayside,Queens,40.762737532164934,-73.77342112932584
17,Bedford,Brooklyn,40.691507021611976,-73.94990480444068
18,Bedford Park,Bronx,40.86768222238495,-73.89018381164814
19,Bellerose,Queens,40.73548651046705,-73.72665540152784
20,Belmont,Bronx,40.857779440562844,-73.88586744911127
21,Bensonhurst East,Brooklyn,40.60142907301775,-73.98353783537917
22,Bensonhurst West,Brooklyn,40.61221766982796,-73.99525864587314
23,Bloomfield/Emerson Hill,Staten Island,40.60644824321444,-74.17088508711593
24,Bloomingdale,Manhattan,40.801970515634174,-73.96547935663406
25,Boerum Hill,Brooklyn,40.68563370139058,-73.98611374739605
26,Borough Park,Brooklyn,40.63094925326426,-73.98866057160336
27,Breezy Point/Fort Tilden/Riis Beach,Queens,40.55913475562822,-73.90691199328067
28,Briarwood/Jamaica Hills,Queens,40.711596489319724,-73.80872922918115
29,Brighton Beach,Brooklyn,40.58092175157135,-73.96121662082737
30,Broad Channel,Queens,40.60368693988757,-73.82192752206782
31,Bronx Park,Bronx,40.85774566451417,-73.87547602176667
32,Bronxdale,Bronx,40.86400203645644,-73.86490091353166
33,Brooklyn Heights,Brooklyn,40.69579808472252,-73.99525009947318
34,Brooklyn Navy Yard,Brooklyn,40.70085574405344,-73.97118860464191
35,Brownsville,Brooklyn,40.664002936640344,-73.91025776959916
36,Bushwick North,Brooklyn,40.70052207677382,-73.91770956300488
37,Bushwick South,Brooklyn,40.69499398960588,-73.92223688327465
38,Cambria Heights,Queens,40.69434123971375,-73.73555411751046
39,Canarsie,Brooklyn,40.63803689672939,-73.8997346848635
40,Carroll Gardens,Brooklyn,40.67919897887252,-73.99595622535054
41,Central Harlem,Manhattan,40.804333857858566,-73.95129204385638
42,Central Harlem North,Manhattan,40.81825725007343,-73.94077208625764
43,Central Park,Manhattan,40.782477012629855,-73.96555540550199
44,Charleston/Tottenville,Staten Island,40.52549110546785,-74.23353546082052
45,Chinatown,Manhattan,40.71245928513697,-73.99815145865519
46,City Island,Bronx,40.84908569070798,-73.78198762631824
47,Claremont/Bathgate,Bronx,40.84274838600793,-73.90031694602852
48,Clinton East,Manhattan,40.76225259858686,-73.98984489812494
49,Clinton Hill,Brooklyn,40.687967206027,-73.96236337094902
50,Clinton West,Manhattan,40.766237623324514,-73.99513534858681
51,Co-Op City,Bronx,40.873972431959054,-73.82826339600581
52,Cobble Hill,Brooklyn,40.68665117791559,-73.99672407074303
53,College Point,Queens,40.78091165851576,-73.84281297899702
54,Columbia Street,Brooklyn,40.68720061705318,-74.00291135102258
55,Coney Island,Brooklyn,40.57696131070534,-73.98794360684474
56,Corona,Queens,40.74140671948818,-73.85884527575628
56,Corona,Queens,40.75181933958824,-73.8535815482027
58,Country Club,Bronx,40.841451939213556,-73.8203932847595
59,Crotona Park,Bronx,40.83855027505839,-73.89498592772226
60,Crotona Park East,Bronx,40.83399041103506,-73.88590027069773
61,Crown Heights North,Brooklyn,40.674469714192334,-73.93928693565553
62,Crown Heights South,Brooklyn,40.666540670529315,-73.94878830363868
63,Cypress Hills,Brooklyn,40.68383988904548,-73.87817285854474
64,Douglaston,Queens,40.76061450045598,-73.73933650195845
65,Downtown Brooklyn/MetroTech,Brooklyn,40.69533747220736,-73.98608592282788
66,DUMBO/Vinegar Hill,Brooklyn,40.702258945125635,-73.98570157061832
67,Dyker Heights,Brooklyn,40.6196189778478,-74.01380228070624
68,East Chelsea,Manhattan,40.74842733009862,-73.99991779023728
69,East Concourse/Concourse Village,Bronx,40.83141625187567,-73.91503006977001
70,East Elmhurst,Queens,40.76335208099607,-73.86839538867875
71,East Flatbush/Farragut,Brooklyn,40.6442876673477,-73.93796619973367
72,East Flatbush/Remsen Village,Brooklyn,40.65236444541499,-73.92225101477305
73,East Flushing,Queens,40.75410890581649,-73.80729410936029
74,East Harlem North,Manhattan,40.80116912880847,-73.9373456595586
75,East Harlem South,Manhattan,40.790010676294,-73.94575022751276
76,East New York,Brooklyn,40.660934157913516,-73.87682021500527
77,East New York/Pennsylvania Avenue,Brooklyn,40.66655871582285,-73.89536390861545
78,East Tremont,Bronx,40.84496040702045,-73.88552154399945
79,East Village,Manhattan,40.727620122038296,-73.98593745737395
80,East Williamsburg,Brooklyn,40.71536964922733,-73.9367935879161
81,Eastchester,Bronx,40.88093511497006,-73.83664438963196
82,Elmhurst,Queens,40.73949534354325,-73.8771183310234
83,Elmhurst/Maspeth,Queens,40.73832393052052,-73.89217342295797
84,Eltingville/Annadale/Prince's Bay,Staten Island,40.52868558216076,-74.18767927741463
85,Erasmus,Brooklyn,40.6461161546567,-73.95162326816249
86,Far Rockaway,Queens,40.60243266654381,-73.75524330826842
87,Financial District North,Manhattan,40.706808425516,-74.00749595416085
88,Financial District South,Manhattan,40.703357880548445,-74.0115150281245
89,Flatbush/Ditmas Park,Brooklyn,40.63789963509721,-73.96096805763649
90,Flatiron,Manhattan,40.74227858331221,-73.99697147759031
91,Flatlands,Brooklyn,40.62627246088453,-73.93009718315575
92,Flushing,Queens,40.7611014398131,-73.82885854846761
93,Flushing Meadows-Corona Park,Queens,40.74067383007372,-73.84086521275654
94,Fordham South,Bronx,40.85815518926289,-73.89953594476775
95,Forest Hills,Queens,40.72143156737172,-73.84766908657137
96,Forest Park/Highland Park,Queens,40.6970015078661,-73.8715612898338
97,Fort Greene,Brooklyn,40.69078658376774,-73.9748820144768
98,Fresh Meadows,Queens,40.734462637097494,-73.77725343413134
99,Freshkills Park,Staten Island,40.57677255023222,-74.18642081572338
100,Garment District,Manhattan,40.75351274051303,-73.98878660966813
101,Glen Oaks,Queens,40.74599312386358,-73.7110254285456
102,Glendale,Queens,40.7035460869547,-73.87573702732386
103,Governor's Island/Ellis Island/Liberty Island,Manhattan,40.68986010346146,-74.04528828347375
103,Governor's Island/Ellis Island/Liberty Island,Manhattan,40.69876867282886,-74.04077078511479
103,Governor's Island/Ellis Island/Liberty Island,Manhattan,40.688784215552616,-74.01907288309684
106,Gowanus,Brooklyn,40.673512678313976,-73.99064755008082
107,Gramercy,Manhattan,40.73682398302769,-73.98405214924436
108,Gravesend,Brooklyn,40.58840360836442,-73.9814314279712
109,Great Kills,Staten Island,40.551862025100405,-74.15089028926955
110,Great Kills Park,Staten Island,40.54577972821087,-74.12834311100727
111,Green-Wood Cemetery,Brooklyn,40.65213720698316,-73.9902343725197
112,Greenpoint,Brooklyn,40.72950616875672,-73.94954001249944
113,Greenwich Village North,Manhattan,40.73257902625367,-73.9943047162786
114,Greenwich Village South,Manhattan,40.72834036831642,-73.9973801630823
115,Grymes Hill/Clifton,Staten Island,40.61797101224406,-74.0878388464394
116,Hamilton Heights,Manhattan,40.82701260635661,-73.94852183123933
117,Hammels/Arverne,Queens,40.59405915427384,-73.78962334973271
118,Heartland Village/Todt Hill,Staten Island,40.58655482658561,-74.13298451453818
119,Highbridge,Bronx,40.837826783716714,-73.92615757846964
120,Highbridge Park,Manhattan,40.846666945291695,-73.9301832301702
121,Hillcrest/Pomonok,Queens,40.72833291964907,-73.80244388409426
122,Hollis,Queens,40.71063914369108,-73.76113689765596
123,Homecrest,Brooklyn,40.59995386265361,-73.96433354731992
124,Howard Beach,Queens,40.6582475138648,-73.8449181204672
125,Hudson Sq,Manhattan,40.72629040399524,-74.0074858070925
126,Hunts Point,Bronx,40.81207420841891,-73.8855370337455
127,Inwood,Manhattan,40.866074893138844,-73.9193084235328
128,Inwood Hill Park,Manhattan,40.87237883266693,-73.92436989163414
129,Jackson Heights,Queens,40.75731177578824,-73.88531729044865
130,Jamaica,Queens,40.70436904839545,-73.79398113023713
131,Jamaica Estates,Queens,40.72065547306545,-73.77610108565929
132,JFK Airport,Queens,40.6469851002482,-73.78652986349012
133,Kensington,Brooklyn,40.640589941044496,-73.97619875860275
134,Kew Gardens,Queens,40.70805097274516,-73.82871239790782
135,Kew Gardens Hills,Queens,40.72837725250497,-73.82119497835454
136,Kingsbridge Heights,Bronx,40.86526406538748,-73.90591127838628
137,Kips Bay,Manhattan,40.74043892115906,-73.97649469938301
138,LaGuardia Airport,Queens,40.77437581673263,-73.873628438902
139,Laurelton,Queens,40.677097531404165,-73.7442347963469
140,Lenox Hill East,Manhattan,40.76548395144242,-73.9547390603464
141,Lenox Hill West,Manhattan,40.766948054796536,-73.95963501136171
142,Lincoln Square East,Manhattan,40.7736331961289,-73.98153235360773
143,Lincoln Square West,Manhattan,40.77596514731965,-73.9876456908124
144,Little Italy/NoLiTa,Manhattan,40.720888840868064,-73.99691858884708
145,Long Island City/Hunters Point,Queens,40.74537934472368,-73.94889156149159
146,Long Island City/Queens Plaza,Queens,40.75424253686728,-73.93482891700025
147,Longwood,Bronx,40.81967568059163,-73.89895654395085
148,Lower East Side,Manhattan,40.718938301131104,-73.99089636602756
149,Madison,Brooklyn,40.6049134658026,-73.94813561950728
150,Manhattan Beach,Brooklyn,40.5804733513006,-73.94362868028261
151,Manhattan Valley,Manhattan,40.797961980283944,-73.96816820440951
152,Manhattanville,Manhattan,40.81797510016548,-73.95378220824486
153,Marble Hill,Manhattan,40.87596779180152,-73.91037864632285
154,Marine Park/Floyd Bennett Field,Brooklyn,40.59357106687244,-73.90259516689072
155,Marine Park/Mill Basin,Brooklyn,40.61459130879868,-73.91527729481503
156,Mariners Harbor,Staten Island,40.63130767438205,-74.16723425044069
157,Maspeth,Queens,40.72399485039648,-73.90233075376986
158,Meatpacking/West Village West,Manhattan,40.73503518316511,-74.00898419902498
159,Melrose South,Bronx,40.818259819569725,-73.91284931725946
160,Middle Village,Queens,40.71833678461976,-73.88005123769709
161,Midtown Center,Manhattan,40.758027981780664,-73.97769803041939
162,Midtown East,Manhattan,40.75668753761734,-73.97235615813489
163,Midtown North,Manhattan,40.764421438774605,-73.97756856896713
164,Midtown South,Manhattan,40.74857453693653,-73.98515644835915
165,Midwood,Brooklyn,40.620923828653744,-73.95682439069601
